DESeq2/LimmaVoom/EdgeR,DESeq2/EdgeR,DESeq2/LimmaVoom,EdgeR/LimmaVoom,DESeq2,LimmaVoom,EdgeR
RNU6-920P,EPS8L1,CLU,PPBP,AC092620.2,RP3-402G11.26,MYL9
RP11-373D23.3,YY2,RNU6-920P,MYLK,CTD-3001H11.2,RP1-40E16.12,BCLAF1P2
CTD-2517M22.17,SNX32,CTD-2270P14.5,RP11-373D23.3,RPL31,HEMGN,C6orf25
RN7SL47P,AC007272.3,PHBP19,MT-ATP8,TMEM160,TMEM40,GAS5
LINC00865,FAM207BP,RP11-373D23.3,CTDSPL,MYL9,MYL9,HELLPAR
CTD-2165H16.3,CTB-79E8.3,RP11-927P21.4,RN7SL47P,PBX1,GADD45G,IGLV1-51
PPBP,G0S2,RN7SL47P,CTD-2517M22.17,RASA2-IT1,RP11-127B20.3,RPS13P2
CTDSPL,MTND2P28,CTD-2517M22.17,LINC00865,YY2,VIL1,CFAP161
MT-ATP8,CDC42BPA,MYLK,CTD-2233K9.1,RP3-375P9.2,KCNN3,HGD
AC005776.1,RP11-152N13.16,PPBP,AC005776.1,HES4,AC062017.1,RPL13P12
IGF2BP2,RPL41P5,CTD-2165H16.3,CTD-2165H16.3,RP11-77K12.3,MTSS1L,SPARC
GP1BA,BBOF1,MT-ATP8,IGF2BP2,SNX32,BBOF1,TUBB1
CTD-2233K9.1,ABLIM3,AC005776.1,GP1BA,ANKDD1B,RP11-693M3.1,NAMPTP1
RNU6-611P,RN7SL5P,IGF2BP2,RNU6-611P,AC007272.3,CDC42BPA,RNU6-1003P
,PFDN5,LINC00865,,EFEMP2,ACTL10,TRIM74
,RP11-803D5.1,RP1-198K11.5,,MMP17,RP1-198K11.5,SNORA60
,CTB-152G17.6,CTDSPL,,FAM207BP,SNHG19,RP11-764D10.2
,RPS7,GP1BA,,PMAIP1,TRAJ2,RP11-91P24.6
,RC3H1-IT1,CTD-2233K9.1,,RP11-152N13.16,RP11-259N19.1,TJP2
,RPL23,OXTR,,WWTR1,RP5-867C24.4,CTD-3001H11.2
,RNU6-1016P,AKAP3,,RP11-803D5.1,RAB43,CTD-2231E14.2
,CTC-236F12.4,RNU6-611P,,GAS5,TMEM200B,PMAIP1
,FLT3,IGKV6D-21,,MTND2P28,FAM26F,AC092620.2
,ARHGEF12,,,CTB-79E8.3,PDXP,CH507-528H12.1
,SIK1,,,FLT3,CTD-2293H3.1,NME2P1
,RAB43,,,BBOF1,C6orf25,PDE3A
,AP000240.9,,,CTC-236F12.4,PPBP,INHBA
,TMEM158,,,CDC42BPA,AC016757.3,RPL24P8
,COX7B,,,ABLIM3,SOCS1,CDC42BPA
,RP5-1024G6.2,,,RN7SL5P,FSTL1,HES4
,RPS24,,,ABCC4,RAC3,CTB-79E8.3
,TMA7,,,AC136289.1,ITGB3,MEG3
,DST,,,RNU6-1016P,AC007272.3,RPL41P5
,PRR22,,,RP5-1024G6.2,RP11-373D23.3,TMEM160
,C4orf48,,,CTB-152G17.6,AMN,AC007272.3
,RP11-298I3.6,,,RPL41P5,Y_RNA,RPS7
,Y_RNA,,,SIK1,Y_RNA,MTND2P28
,RPL7,,,RC3H1-IT1,Y_RNA,SNX32
,RP11-732A19.1,,,ERMN,SCO2,AC241585.1
,THBS1,,,AP000240.9,MT-ATP8,FAM207BP
,RPL11P3,,,PFDN5,CTD-2007H13.3,RASA2-IT1
,UQCRFS1P1,,,RAB43,NEO1,PFDN5
,NBL1,,,RPS7,HES6,RPL23
,RP11-318K15.2,,,PLD1,IER5L,YY2
,RP11-44N11.1,,,RPL23,CTD-2186M15.3,ABLIM3
,RP11-1275H24.2,,,TMEM158,ZNF252P-AS1,RN7SL5P
,EEF1E1,,,ARHGEF12,CTD-2233K9.1,SLC27A5
,RNU4-62P,,,PRR22,CLU,RC3H1-IT1
,MSC-AS1,,,COX7B,AC017035.2,EPS8L1
,CENPQ,,,C4orf48,FOXN3-AS1,SNORD4A
,RP11-778D9.4,,,NBL1,RP11-707G18.1,CTB-152G17.6
,RPS3AP26,,,RP11-298I3.6,RN7SL47P,RP11-152N13.16
,CTD-2031P19.4,,,UQCRFS1P1,ABHD17AP1,BBOF1
,MIR940,,,RPS24,METTL21EP,TMEM163
,PBX1,,,MSC-AS1,CTDSPL,TMA7
,AC018738.2,,,Y_RNA,CTD-2270P14.5,RPS24
,CTD-2270P14.5,,,Y_RNA,AC010518.2,RNU6-1016P
,RP11-91P24.1,,,Y_RNA,AC005776.1,ARHGEF12
,ACSBG1,,,Y_RNA,DLGAP3,TMPO-AS1
,AP003774.6,,,LL22NC03-2H8.5,ZNF837,RP11-803D5.1
,RN7SL521P,,,RP11-732A19.1,AC241585.1,PCAT1
,RP11-61L19.1,,,TMA7,IGLV1-51,COX7B
,RP11-419I17.1,,,RNU4-62P,RPS29P14,CATIP-AS1
,CTA-384D8.36,,,RP11-44N11.1,CTD-2517M22.17,TMEM158
,PHBP19,,,THBS1,OXTR,RAB43
,RN7SL336P,,,RPL11P3,PSMA6P1,CTC-236F12.4
,AC017035.2,,,RP11-318K15.2,SSR4P1,FLT3
,RPL27,,,MIR940,AC100830.3,SIK1
,Metazoa_SRP,,,AP000692.9,MYLK,AP000240.9
,TMEM121,,,RP11-91P24.1,THEM5,RPL7
,DOK7,,,AC018738.2,GP1BA,TNFRSF21
,MRPL12,,,CTB-193M12.3,AKR1E2,RP5-1024G6.2
,CCDC144CP,,,EEF1E1,LRRC24,PRR22
,RNU6-817P,,,CTA-384D8.36,PHBP19,FSD1L
,SPOCD1,,,CENPQ,CTD-2165H16.3,EGR2
,SYTL4,,,MRPL12,IGF2BP2,RP11-1275H24.2
,CLU,,,RNU6-817P,MRPL23,RP11-298I3.6
,IGKV6-21,,,RP11-1275H24.2,ABHD17AP6,C4orf48
,RPL21P123,,,RP3-522P13.2,AKAP3,THBS1
,RPSAP19,,,RN7SL336P,RNU6-611P,Y_RNA
,EGR1,,,RP11-61L19.1,RPL21P44,Y_RNA
,AC062017.1,,,DOK7,AC092620.2,Y_RNA
,ITGB3,,,AP003774.6,DNASE1L2,Y_RNA
,CTD-2293H3.1,,,ACSBG1,GPR25,CTD-2031P19.4
,RP11-79L9.2,,,RP11-778D9.4,LINC00865,RPL11P3
,MIR548P,,,PHBP19,PTRF,RP11-778D9.4
,AC005363.11,,,KRTCAP3,RNU6-1010P,UBL7-AS1
,VIL1,,,RP11-79L9.2,RP11-983P16.4,RP11-318K15.2
,DDIAS,,,RPL7,CTA-126B4.7,RP11-732A19.1
,COMMD6,,,AC017035.2,RNA5SP474,RPS3AP26
,IGHV3-11,,,CCDC144CP,RP11-589N15.2,EEF1E1
,LL22NC03-2H8.5,,,CTD-2270P14.5,IGKV6D-21,UQCRFS1P1
,RPL9P7,,,RP11-419I17.1,ENAM,CENPQ
,OSM,,,RPS3AP26,RN7SL559P,RP11-44N11.1
,CACNB4,,,RP11-139H15.7,,CTD-2270P14.5
,RPL9P9,,,AC005363.11,,RN7SL521P
,HSPA8P15,,,ITGB3,,NBL1
,RP11-139H15.7,,,Metazoa_SRP,,RNU4-62P
,RPS7P11,,,TMEM121,,RP11-620J15.3
,RPL9,,,CTD-2031P19.4,,RPL27
,RNU7-181P,,,RN7SL521P,,MSC-AS1
,MYLK,,,CLU,,RP11-419I17.1
,WWTR1,,,IGKV6-21,,ACSBG1
,ITGB5,,,RPL21P123,,MIR940
,HMGN1P15,,,STK33,,AP003774.6
,RP11-104L21.2,,,RP11-573D15.8,,AC018738.2
,FIGNL2,,,SYTL4,,Metazoa_SRP
,RPL41,,,CTD-2293H3.1,,PHBP19
,RPS29,,,AC062017.1,,RP11-61L19.1
,RPL22L1,,,SPOCD1,,RP11-91P24.1
,LINC00865,,,BEND2,,TMEM121
,RPL7P1,,,G0S2,,RPSAP19
,CTD-2517M22.17,,,MIR548P,,AC017035.2
,RPL41P1,,,RPSAP19,,CDK15
,RSL24D1,,,VIL1,,SPOCD1
,UBE2MP1,,,RPL27,,DNAH8
,RNU6-1176P,,,PTX4,,RPL9
,ISCA1P1,,,DDIAS,,COMMD6
,BCAS1,,,RP11-420C9.1,,SYTL4
,RP11-392O17.2,,,ZNF462,,CLU
,RN7SL47P,,,IGHV3-11,,CTA-384D8.36
,CTD-2165H16.3,,,ITGB5,,AC062017.1
,LINC01359,,,ISCA1P1,,CCDC144CP
,PLEKHA5,,,CACNB4,,IGKV6-21
,TMSB4XP4,,,COL5A2,,AC097495.2
,IGKV1-5,,,MPPED2,,RPL21P123
,CTC-265F19.2,,,HSPA8P15,,RPL9P7
,RP11-373D23.3,,,FIGNL2,,RN7SL336P
,RP11-127B20.3,,,OSM,,HMGN5
,RP11-59C5.3,,,CTA-941F9.10,,ITGB3
,RPSAP36,,,COMMD6,,RPL9P9
,IGF2BP2,,,HMGN1P15,,CCDC162P
,RP11-90B9.2,,,UBE2MP1,,RP11-312J18.5
,CTD-2302E22.5,,,RPL9P7,,DOK7
,CTDSPL,,,FAM26E,,CTD-2293H3.1
,AC111200.7,,,RPS7P11,,MIR548P
,SCT,,,RP11-104L21.2,,PPIAP22
,RP11-562A8.1,,,PARD3,,RPS7P11
,AC005776.1,,,RNU7-181P,,MRPL12
,KIF15,,,RPL9P9,,RNU6-817P
,RP1-228H13.5,,,CTD-2517M22.17,,OSM
,RP11-466H18.1,,,RP11-392O17.2,,RNU6-97P
,TPT1,,,MYLK,,VIL1
,RPL39P36,,,RPSAP36,,IGHV3-11
,ZNF497,,,CTD-2165H16.3,,AC005363.11
,RP11-107E5.3,,,BCAS1,,AL162151.3
